soilType,plantID,treatment,Date,totalLeafDryMass_g,leafDryMassSubSample1_g,leafDryMassSubSample2_g,leafAreaSubSample2_cm2,LMA_g.m2,totalLeafArea_cm2
A,76,drought,20180625,1.9636,1.7639,0.1997,49.35,40.4660588,485.246169
A,35,drought,20180625,1.0539,0.8361,0.2178,56.39,38.6238695,272.862355
A,67,drought,20180625,1.9957,1.7046,0.2911,61.94,46.997094,424.643277
A,46,drought,20180625,1.4108,1.154,0.2568,58.43,43.9500257,321.00095
A,41,drought,20180625,1.7759,1.4963,0.2796,69.81,40.0515685,443.403358
A,11,drought,20180625,1.8908,1.3863,0.5045,93.42,54.0034254,350.125939
A,28,drought,20180625,1.2206,0.9869,0.2337,51.7,45.2030948,270.02576
A,100,drought,20180625,1.7135,1.4664,0.2471,64.35,38.3993784,446.231182
A,64,drought,20180625,1.4087,1.2803,0.1284,29.62,43.3490885,324.966464
A,2,drought,20180625,1.4484,1.2716,0.1768,38.08,46.4285714,311.963077
B,120,drought,20180625,1.4234,1.2806,0.1428,28.92,49.3775934,288.268403
B,157,drought,20180625,1.763,1.5118,0.2512,50.7,49.5463511,355.828424
B,138,drought,20180625,1.3359,1.1012,0.2347,51.86,45.2564597,295.18438
B,145,drought,20180625,1.198,1.0034,0.1946,42.69,45.584446,262.808941
B,159,drought,20180625,1.2678,1.0292,0.2386,55.87,42.7062824,296.864987
B,105,drought,20180625,1.0158,0.799,0.2168,43.99,49.2839282,206.111817
B,127,drought,20180625,0.7346,0.6,0.1346,29.21,46.0801096,159.418024
B,130,drought,20180625,2.4125,2.2487,0.1638,35.48,46.1668546,522.56105
B,155,drought,20180625,2.5577,2.3997,0.158,33.05,47.806354,535.012563
B,122,drought,20180625,1.1998,1.0116,0.1882,37.27,50.4963778,237.601201
C,191,drought,20180625,1.549,1.2512,0.2978,43.89,67.8514468,228.292848
C,194,drought,20180625,2.6307,2.3533,0.2774,62.33,44.5050537,591.10141
C,201,drought,20180625,1.2051,0.9445,0.2606,56.79,45.8883606,262.615614
C,198,drought,20180625,0.8227,0.5994,0.2233,47.01,47.5005318,173.198061
C,166,drought,20180625,1.6256,1.3851,0.2405,50.11,47.9944123,338.706096
C,217,drought,20180625,1.2888,1.1105,0.1783,42.73,41.7271238,308.863847
C,184,drought,20180625,0.4356,0.345,0.0906,20.79,43.5786436,99.9572185
C,173,drought,20180625,1.7864,1.5557,0.2307,45.89,50.2723905,355.344153
C,185,drought,20180625,1.5177,1.3108,0.2069,46.14,44.8417859,338.456636
C,202,drought,20180625,1.6261,1.4354,0.1907,41.89,45.5239914,357.196272
