Soil,Plant,Treat,Date,time,stomata
A,71,BAG,180517,mid-morning,523.4
A,75,BAG,180517,mid-morning,157.2
A,85,BAG,180517,mid-morning,448
A,90,BAG,180517,mid-morning,586.1
A,93,BAG,180517,mid-morning,309.5
A,17,DRY,180517,mid-morning,451
A,34,DRY,180517,mid-morning,523.3
A,39,DRY,180517,mid-morning,413.9
A,43,DRY,180517,mid-morning,397
A,50,DRY,180517,mid-morning,386.5
B,104,DRY,180517,mid-morning,482.9
B,133,DRY,180517,mid-morning,314.9
B,125,DRY,180517,mid-morning,388.4
B,136,DRY,180517,mid-morning,402.7
B,139,DRY,180517,mid-morning,298.2
C,171,DRY,180517,mid-morning,308.5
C,175,DRY,180517,mid-morning,337
C,179,DRY,180517,mid-morning,437.25
C,193,DRY,180517,mid-morning,368.4
C,199,DRY,180517,mid-morning,317.1
A,74,BAG,180524,mid-morning,421.8
A,82,BAG,180524,mid-morning,535.1
A,84,BAG,180524,mid-morning,628.25
A,87,BAG,180524,mid-morning,527.6
A,94,BAG,180524,mid-morning,539.3
A,7,CONTROL,180524,mid-morning,188.34
A,24,CONTROL,180524,mid-morning,261.2
A,47,CONTROL,180524,mid-morning,371.1
A,48,CONTROL,180524,mid-morning,111
A,81,CONTROL,180524,mid-morning,380.2
A,95,CONTROL,180524,mid-morning,245.55
B,121,CONTROL,180524,mid-morning,395.55
B,151,CONTROL,180524,mid-morning,251.9
B,156,CONTROL,180524,mid-morning,343.05
C,169,CONTROL,180524,mid-morning,458.3
C,181,CONTROL,180524,mid-morning,365.6
C,190,CONTROL,180524,mid-morning,138.85
C,214,CONTROL,180524,mid-morning,335.8
A,13,DRY,180524,mid-morning,379.9
A,19,DRY,180524,mid-morning,316.5
A,22,DRY,180524,mid-morning,274.45
A,37,DRY,180524,mid-morning,357.6
A,42,DRY,180524,mid-morning,358.7
B,117,DRY,180524,mid-morning,121.9
B,118,DRY,180524,mid-morning,222.2
B,146,DRY,180524,mid-morning,184.3
B,148,DRY,180524,mid-morning,394.7
B,160,DRY,180524,mid-morning,308.45
C,163,DRY,180524,mid-morning,369.2
C,165,DRY,180524,mid-morning,279.05
C,170,DRY,180524,mid-morning,319.6
C,176,DRY,180524,mid-morning,246.2
C,209,DRY,180524,mid-morning,423.45
A,2,CONTROL,180531,mid-morning,475.3
A,26,CONTROL,180531,mid-morning,596.2666667
A,91,CONTROL,180531,mid-morning,412.85
B,124,CONTROL,180531,mid-morning,472.8
A,10,DRY,180531,mid-morning,571.3
A,16,DRY,180531,mid-morning,420.6
A,23,DRY,180531,mid-morning,655.3
A,27,DRY,180531,mid-morning,228.3
A,36,DRY,180531,mid-morning,597.2
B,103,DRY,180531,mid-morning,100.4
B,106,DRY,180531,mid-morning,216.9
B,134,DRY,180531,mid-morning,191.1
B,153,DRY,180531,mid-morning,671.3
B,158,DRY,180531,mid-morning,96.3
C,183,DRY,180531,mid-morning,214.5
C,186,DRY,180531,mid-morning,280.3
C,210,DRY,180531,mid-morning,188.3
C,213,DRY,180531,mid-morning,585.3
C,219,DRY,180531,mid-morning,386
A,32,CONTROL,180613,mid-morning,335.6
A,80,CONTROL,180613,mid-morning,464.6
A,86,CONTROL,180613,mid-morning,457.7
B,110,CONTROL,180613,mid-morning,439.93
B,133,CONTROL,180613,mid-morning,273.8
B,137,CONTROL,180613,mid-morning,139.7
B,141,CONTROL,180613,mid-morning,288.4
C,177,CONTROL,180613,mid-morning,283.55
C,218,CONTROL,180613,mid-morning,488.15
C,220,CONTROL,180613,mid-morning,314.5
A,1,DRY,180613,mid-morning,311.5
A,14,DRY,180613,mid-morning,437.8
A,20,DRY,180613,mid-morning,167.2
A,44,DRY,180613,mid-morning,39
A,45,DRY,180613,mid-morning,51.9
B,111,DRY,180613,mid-morning,37.4
B,129,DRY,180613,mid-morning,93.7
B,132,DRY,180613,mid-morning,45.6
B,135,DRY,180613,mid-morning,32.9
B,144,DRY,180613,mid-morning,58.4
C,164,DRY,180613,mid-morning,96.7
C,167,DRY,180613,mid-morning,102.6
C,168,DRY,180613,mid-morning,53.3
C,182,DRY,180613,mid-morning,83.95
C,206,DRY,180613,mid-morning,98.8
B,102,CONTROL,180620,mid-morning,464.6
B,112,CONTROL,180620,mid-morning,454.2
B,114,CONTROL,180620,mid-morning,315.6
B,116,CONTROL,180620,mid-morning,459.4
C,162,CONTROL,180620,mid-morning,321.3
C,195,CONTROL,180620,mid-morning,517.8
C,200,CONTROL,180620,mid-morning,314.9666667
C,203,CONTROL,180620,mid-morning,351.1
A,9,DRY,180620,mid-morning,27.5
A,12,DRY,180620,mid-morning,62.5
A,15,DRY,180620,mid-morning,56.3
A,21,DRY,180620,mid-morning,31.7
A,89,DRY,180620,mid-morning,16.25
B,115,DRY,180620,mid-morning,85.9
B,123,DRY,180620,mid-morning,67.6
B,143,DRY,180620,mid-morning,38.95
B,150,DRY,180620,mid-morning,52.55
C,188,DRY,180620,mid-morning,31.8
C,189,DRY,180620,mid-morning,27.1
C,208,DRY,180620,mid-morning,77.5
C,212,DRY,180620,mid-morning,39
C,216,DRY,180620,mid-morning,53.15
